Name	DistFromCosette	NewLabel
Myriel	2.0	Myriel(2.0)
Napoleon	3.0	Napoleon(3.0)
MlleBaptistine	2.0	MlleBaptistine(2.0)
MmeMagloire	2.0	MmeMagloire(2.0)
CountessDeLo	3.0	CountessDeLo(3.0)
Geborand	3.0	Geborand(3.0)
Champtercier	3.0	Champtercier(3.0)
Cravatte	3.0	Cravatte(3.0)
Count	3.0	Count(3.0)
OldMan	3.0	OldMan(3.0)
Labarre	2.0	Labarre(2.0)
Valjean	1.0	Valjean(1.0)
Marguerite	2.0	Marguerite(2.0)
MmeDeR	2.0	MmeDeR(2.0)
Isabeau	2.0	Isabeau(2.0)
Gervais	2.0	Gervais(2.0)
Tholomyes	1.0	Tholomyes(1.0)
Listolier	2.0	Listolier(2.0)
Fameuil	2.0	Fameuil(2.0)
Blacheville	2.0	Blacheville(2.0)
Favourite	2.0	Favourite(2.0)
Dahlia	2.0	Dahlia(2.0)
Zephine	2.0	Zephine(2.0)
Fantine	2.0	Fantine(2.0)
MmeThenardier	1.0	MmeThenardier(1.0)
Thenardier	1.0	Thenardier(1.0)
Cosette	0.0	Cosette(0.0)
Javert	1.0	Javert(1.0)
Fauchelevent	2.0	Fauchelevent(2.0)
Bamatabois	2.0	Bamatabois(2.0)
Perpetue	3.0	Perpetue(3.0)
Simplice	2.0	Simplice(2.0)
Scaufflaire	2.0	Scaufflaire(2.0)
Woman1	2.0	Woman1(2.0)
Judge	2.0	Judge(2.0)
Champmathieu	2.0	Champmathieu(2.0)
Brevet	2.0	Brevet(2.0)
Chenildieu	2.0	Chenildieu(2.0)
Cochepaille	2.0	Cochepaille(2.0)
Pontmercy	2.0	Pontmercy(2.0)
Boulatruelle	2.0	Boulatruelle(2.0)
Eponine	2.0	Eponine(2.0)
Anzelma	2.0	Anzelma(2.0)
Woman2	1.0	Woman2(1.0)
MotherInnocent	2.0	MotherInnocent(2.0)
Gribier	3.0	Gribier(3.0)
Jondrette	4.0	Jondrette(4.0)
MmeBurgon	3.0	MmeBurgon(3.0)
Gavroche	2.0	Gavroche(2.0)
Gillenormand	1.0	Gillenormand(1.0)
Magnon	2.0	Magnon(2.0)
MlleGillenormand	1.0	MlleGillenormand(1.0)
MmePontmercy	2.0	MmePontmercy(2.0)
MlleVaubois	2.0	MlleVaubois(2.0)
LtGillenormand	1.0	LtGillenormand(1.0)
Marius	1.0	Marius(1.0)
BaronessT	2.0	BaronessT(2.0)
Mabeuf	2.0	Mabeuf(2.0)
Enjolras	2.0	Enjolras(2.0)
Combeferre	2.0	Combeferre(2.0)
Prouvaire	3.0	Prouvaire(3.0)
Feuilly	2.0	Feuilly(2.0)
Courfeyrac	2.0	Courfeyrac(2.0)
Bahorel	2.0	Bahorel(2.0)
Bossuet	2.0	Bossuet(2.0)
Joly	2.0	Joly(2.0)
Grantaire	3.0	Grantaire(3.0)
MotherPlutarch	3.0	MotherPlutarch(3.0)
Gueulemer	2.0	Gueulemer(2.0)
Babet	2.0	Babet(2.0)
Claquesous	2.0	Claquesous(2.0)
Montparnasse	2.0	Montparnasse(2.0)
Toussaint	1.0	Toussaint(1.0)
Child1	3.0	Child1(3.0)
Child2	3.0	Child2(3.0)
Brujon	2.0	Brujon(2.0)
MmeHucheloup	3.0	MmeHucheloup(3.0)
