actor1	actor2	class
CCH Pounder	Joel David Moore	1
CCH Pounder	Wes Studi	1
CCH Pounder	Aidan Turner	1
CCH Pounder	Jimmy Bennett	1
CCH Pounder	Nicolas Cage	1
CCH Pounder	Mako	1
CCH Pounder	Jada Pinkett Smith	1
CCH Pounder	Rip Torn	1
CCH Pounder	Mark Margolis	1
CCH Pounder	Udo Kier	1
CCH Pounder	Joan Allen	1
CCH Pounder	Gary Farmer	1
CCH Pounder	Kevin Zegers	1
CCH Pounder	Aryana Engineer	1
Joel David Moore	Wes Studi	1
Joel David Moore	Robert Downey Jr.	1
Joel David Moore	Chris Zylka	1
Joel David Moore	Stephen Root	1
Joel David Moore	Kristin Davis	1
Joel David Moore	Linda Cardellini	1
Joel David Moore	Gary Cole	1
Joel David Moore	Katharine McPhee	1
Joel David Moore	Kane Hodder	1
Joel David Moore	Shirley Jones	1
Joel David Moore	Joel Murray	1
Wes Studi	Christian Bale	1
Wes Studi	Eddie Izzard	1
Wes Studi	Djimon Hounsou	1
Wes Studi	Jason Flemyng	1
Wes Studi	Janeane Garofalo	1
Wes Studi	Jon Seda	1
Wes Studi	Fisher Stevens	1
Wes Studi	Terry Kinney	1
Wes Studi	Eric Schweig	1
Wes Studi	Michael Greyeyes	1
Johnny Depp	Orlando Bloom	3
Johnny Depp	Jack Davenport	4
Johnny Depp	Christian Bale	1
Johnny Depp	Alan Rickman	2
Johnny Depp	Marlon Brando	1
Johnny Depp	Frank Langella	1
Johnny Depp	Ruth Wilson	1
Johnny Depp	Tom Wilkinson	1
Johnny Depp	Sam Claflin	1
Johnny Depp	Stephen Graham	2
Johnny Depp	Christopher Lee	3
Johnny Depp	Leonardo DiCaprio	1
Johnny Depp	Kate Winslet	1
Johnny Depp	Anne Hathaway	2
Johnny Depp	Benedict Cumberbatch	1
Johnny Depp	Richard Coyle	1
Johnny Depp	Clifton Collins Jr.	1
Johnny Depp	Ray Winstone	1
Johnny Depp	Kelly Macdonald	1
Johnny Depp	Morgan Freeman	1
Johnny Depp	Chloë Grace Moretz	1
Johnny Depp	Salma Hayek	1
Johnny Depp	Bill Murray	1
Johnny Depp	Angelina Jolie Pitt	1
Johnny Depp	Jason Flemyng	1
Johnny Depp	Charlize Theron	1
Johnny Depp	David Kelly	1
Johnny Depp	Stephen Root	1
Johnny Depp	Jordi Mollà	1
Johnny Depp	Adam Scott	1
Johnny Depp	Tom Arnold	1
Johnny Depp	Rufus Sewell	1
Johnny Depp	Michael Jeter	1
Johnny Depp	Ethan Suplee	1
Johnny Depp	Haley Joel Osment	2
Johnny Depp	Anne Heche	1
Johnny Depp	Meryl Streep	1
Johnny Depp	Al Pacino	1
Johnny Depp	Anna Kendrick	1
Johnny Depp	Kevin Dillon	1
Johnny Depp	Lena Olin	1
Johnny Depp	Martin Landau	1
Johnny Depp	Natasha Lyonne	1
Johnny Depp	Timothy Hutton	1
Johnny Depp	Dianne Wiest	1
Johnny Depp	Olivia Munn	1
Johnny Depp	Ulrich Thomsen	1
Johnny Depp	Michael Parks	1
Johnny Depp	Charles S. Dutton	1
Johnny Depp	Ellen Barkin	1
Johnny Depp	Tom Berenger	1
Johnny Depp	Conchata Ferrell	1
Johnny Depp	Faye Dunaway	1
Johnny Depp	Ian Richardson	1
Johnny Depp	Clea DuVall	1
Johnny Depp	Lin Shaye	1
Johnny Depp	Amanda Wyss	1
