Actor	Facebook likes	Actor Genre
CCH Pounder	1000	Action
Joel David Moore	936	Comedy
Wes Studi	855	Action
Johnny Depp	40000	Drama
Orlando Bloom	5000	Adventure
Jack Davenport	1000	Action
Christoph Waltz	11000	Drama
Rory Kinnear	393	Action
Stephanie Sigman	161	Action
Tom Hardy	27000	Thriller
Christian Bale	23000	Drama
Joseph Gordon-Levitt	23000	Drama
Doug Walker	131	Documentary
Rob Walker	12	Documentary
Daryl Sabara	640	Adventure
Samantha Morton	632	Drama
Polly Walker	530	Action
J.K. Simmons	24000	Drama
James Franco	11000	Drama
Kirsten Dunst	4000	Romance
Brad Garrett	799	Comedy
Donna Murphy	553	Adventure
M.C. Gainey	284	Comedy
Chris Hemsworth	26000	Action
Robert Downey Jr.	21000	Drama
Scarlett Johansson	19000	Drama
Alan Rickman	25000	Adventure
Daniel Radcliffe	11000	Adventure
Rupert Grint	10000	Fantasy
Henry Cavill	15000	Action
Lauren Cohan	4000	Action
Alan D. Purwin	2000	Action
Kevin Spacey	18000	Drama
Marlon Brando	10000	Drama
Frank Langella	903	Drama
Giancarlo Giannini	451	Action
Mathieu Amalric	412	Drama
Ruth Wilson	2000	Drama
Tom Wilkinson	1000	Drama
Christopher Meloni	3000	Drama
Harry Lennix	748	Drama
Peter Dinklage	22000	Comedy
Pierfrancesco Favino	216	Action
Damián Alcázar	201	Action
Sam Claflin	11000	Action
Stephen Graham	1000	Drama
Will Smith	10000	Action
Michael Stuhlbarg	816	Comedy
Nicole Scherzinger	718	Action
Aidan Turner	5000	Fantasy
Adam Brown	972	Adventure
James Nesbitt	773	Adventure
Emma Stone	15000	Comedy
Andrew Garfield	10000	Drama
Chris Zylka	963	Action
Mark Addy	891	Comedy
William Hurt	882	Drama
Scott Grimes	738	Drama
Christopher Lee	16000	Adventure
Eva Green	6000	Action
Kristin Scott Thomas	1000	Drama
Naomi Watts	6000	Drama
Thomas Kretschmann	919	Drama
Evan Parke	84	Action
Leonardo DiCaprio	29000	Drama
Kate Winslet	14000	Drama
Gloria Stuart	794	Drama
Chris Evans	11000	Action
Liam Neeson	14000	Action
Alexander Skarsgård	10000	Drama
Tadanobu Asano	627	Adventure
Bryce Dallas Howard	3000	Drama
Judy Greer	2000	Comedy
Omar Sy	1000	Action
Albert Finney	883	Adventure
Helen McCrory	563	Adventure
Jon Favreau	4000	Comedy
Don Cheadle	3000	Drama
Anne Hathaway	11000	Romance
Hugh Jackman	20000	Sci-Fi
Kelsey Grammer	808	Action
Daniel Cudmore	560	Action
Steve Buscemi	12000	Comedy
Tyler Labine	779	Comedy
Sean Hayes	760	Comedy
Glenn Morshower	894	Action
Kevin Dunn	581	Drama
Ramon Rodriguez	464	Action
Bingbing Li	974	Action
Sophia Myles	956	Action
Tim Holmes	44000	Adventure
Mila Kunis	15000	Comedy
B.J. Novak	825	Adventure
Jeff Bridges	12000	Drama
Olivia Wilde	10000	Comedy
James Frain	1000	Drama
Joe Mantegna	1000	Drama
Eddie Izzard	776	Comedy
Ryan Reynolds	16000	Comedy
