Movie	title_year	duration	gross	genres	plot_keywords	language	content_rating	budget	country	aspect_ratio	color	movie_imdb_link	imdb_score	num_critic_for_reviews	num_user_for_reviews	num_voted_users	facenumber_in_poster	director_facebook_likes	cast_total_facebook_likes	movie_facebook_likes
Avatar	2009	178	760505847	Action	avatar|future|marine|native|paraplegic	English	PG-13	237000000	USA	1.78	Color	http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1	7.9	723	3054	886204	0	0	4834	33000
Pirates of the Caribbean: At World's End	2007	169	309404152	Action	goddess|marriage ceremony|marriage proposal|pirate|singapore	English	PG-13	300000000	USA	2.35	Color	http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1	7.1	302	1238	471220	0	563	48350	0
Spectre	2015	148	200074175	Action	bomb|espionage|sequel|spy|terrorist	English	PG-13	245000000	UK	2.35	Color	http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1	6.8	602	994	275868	1	0	11700	85000
The Dark Knight Rises	2012	164	448130642	Action	deception|imprisonment|lawlessness|police officer|terrorist plot	English	PG-13	250000000	USA	2.35	Color	http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1	8.5	813	2701	1144337	0	22000	106759	164000
Star Wars: Episode VII - The Force Awakens				Documentary								http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1	7.1			8	0	131	143	0
John Carter	2012	132	73058679	Action	alien|american civil war|male nipple|mars|princess	English	PG-13	263700000	USA	2.35	Color	http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1	6.6	462	738	212204	1	475	1873	24000
Spider-Man 3	2007	156	336530303	Action	sandman|spider man|symbiote|venom|villain	English	PG-13	258000000	USA	2.35	Color	http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1	6.2	392	1902	383056	0	0	46055	0
Tangled	2010	100	200807262	Adventure	17th century|based on fairy tale|disney|flower|tower	English	PG	260000000	USA	1.85	Color	http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1	7.8	324	387	294810	1	15	2036	29000
Avengers: Age of Ultron	2015	141	458991599	Action	artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero	English	PG-13	250000000	USA	2.35	Color	http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1	7.5	635	1117	462669	4	0	92000	118000
Harry Potter and the Half-Blood Prince	2009	153	301956980	Adventure	blood|book|love|potion|professor	English	PG	250000000	UK	2.35	Color	http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1	7.5	375	973	321795	3	282	58753	10000
Batman v Superman: Dawn of Justice	2016	183	330249062	Action	based on comic book|batman|sequel to a reboot|superhero|superman	English	PG-13	250000000	USA	2.35	Color	http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1	6.9	673	3018	371639	0	0	24450	197000
Superman Returns	2006	169	200069408	Action	crystal|epic|lex luthor|lois lane|return to earth	English	PG-13	209000000	USA	2.35	Color	http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1	6.1	434	2367	240396	0	0	29991	0
Quantum of Solace	2008	106	168368427	Action	action hero|attempted rape|bond girl|official james bond series|revenge	English	PG-13	200000000	UK	2.35	Color	http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1	6.7	403	1243	330784	1	395	2023	0
Pirates of the Caribbean: Dead Man's Chest	2006	151	423032628	Action	box office hit|giant squid|heart|liar's dice|monster	English	PG-13	225000000	USA	2.35	Color	http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1	7.3	313	1832	522040	2	563	48486	5000
The Lone Ranger	2013	150	89289910	Action	horse|outlaw|texas|texas ranger|train	English	PG-13	215000000	USA	2.35	Color	http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1	6.5	450	711	181792	1	563	45757	48000
Man of Steel	2013	143	291021565	Action	based on comic book|british actor playing american character|final battle|origin of hero|reboot	English	PG-13	225000000	USA	2.35	Color	http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1	7.2	733	2536	548573	0	0	20495	118000
The Chronicles of Narnia: Prince Caspian	2008	150	141614023	Action	brother brother relationship|brother sister relationship|good versus evil|king|narnia	English	PG	225000000	USA	2.35	Color	http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1	6.6	258	438	149922	4	80	22697	0
The Avengers	2012	173	623279547	Action	alien invasion|assassin|battle|iron man|soldier	English	PG-13	220000000	USA	1.85	Color	http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1	8.1	703	1722	995415	3	0	87697	123000
Pirates of the Caribbean: On Stranger Tides	2011	136	241063875	Action	blackbeard|captain|pirate|revenge|soldier	English	PG-13	250000000	USA	2.35	Color	http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1	6.7	448	484	370704	4	252	54083	58000
Men in Black 3	2012	106	179020854	Action	alien|criminal|m.i.b.|maximum security prison|prison	English	PG-13	225000000	USA	1.85	Color	http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1	6.8	451	341	268154	1	188	12572	40000
The Hobbit: The Battle of the Five Armies	2014	164	255108370	Adventure	army|elf|hobbit|middle earth|orc	English	PG-13	250000000	New Zealand	2.35	Color	http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1	7.5	422	802	354228	0	0	9152	65000
The Amazing Spider-Man	2012	153	262030663	Action	lizard|outcast|spider|spider man|teenager	English	PG-13	230000000	USA	2.35	Color	http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1	7.0	599	1225	451803	0	464	28489	56000
Robin Hood	2010	156	105219735	Action	1190s|archer|england|king of england|robin hood	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1	6.7	343	546	211765	0	0	3244	17000
The Hobbit: The Desolation of Smaug	2013	186	258355354	Adventure	dwarf|elf|lake town|mountain|sword and sorcery	English	PG-13	225000000	USA	2.35	Color	http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1	7.9	509	951	483540	6	0	9152	83000
The Golden Compass	2007	113	70083519	Adventure	children|epic|friend|girl|quest	English	PG-13	180000000	USA	2.35	Color	http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1	6.1	251	666	149019	2	129	24106	0
King Kong	2005	201	218051260	Action	animal name in title|ape abducts a woman|gorilla|island|king kong	English	PG-13	207000000	New Zealand	2.35	Color	http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1	7.2	446	2618	316018	0	0	7123	0
Titanic	1997	194	658672302	Drama	artist|love|ship|titanic|wet	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1	7.7	315	2528	793059	0	0	45223	26000
Captain America: Civil War	2016	147	407197282	Action	based on comic book|knife|marvel cinematic universe|returning character killed off|superhero	English	PG-13	250000000	USA	2.35	Color	http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1	8.2	516	1022	272670	0	94	64798	72000
Battleship	2012	131	65173160	Action	box office flop|hawaii|naval|oahu hawaii|ship	English	PG-13	209000000	USA	2.35	Color	http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1	5.9	377	751	202382	0	532	26679	44000
Jurassic World	2015	124	652177271	Action	dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor	English	PG-13	150000000	USA	2.0	Color	http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1	7.0	644	1290	418214	0	365	8458	150000
Skyfall	2012	143	304360277	Action	brawl|childhood home|computer cracker|intelligence agency|terrorist cell	English	PG-13	200000000	UK	2.35	Color	http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1	7.8	750	1498	522030	0	0	2039	80000
Spider-Man 2	2004	135	373377893	Action	death|doctor|scientist|super villain|tentacle	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1	7.3	300	1303	411164	1	0	43388	0
Iron Man 3	2013	195	408992272	Action	armor|explosion|human bomb|missile attack|terrorist	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1	7.2	608	1187	557489	3	1000	30426	95000
Alice in Wonderland	2010	108	334185206	Adventure	alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion	English	PG	200000000	USA	1.85	Color	http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1	6.5	451	736	306320	0	13000	79957	24000
X-Men: The Last Stand	2006	104	234360014	Action	battle|mutant|outrage|walking through a wall|x men	English	PG-13	210000000	Canada	2.35	Color	http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1	6.8	334	1912	383427	0	420	21714	0
Monsters University	2013	104	268488329	Adventure	cheating|fraternity|monster|singing in a car|university	English	G	200000000	USA	1.85	Color	http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1	7.3	376	265	235025	0	37	14863	44000
Transformers: Revenge of the Fallen	2009	150	402076689	Action	autobot|decepticon|machine|sun|symbol	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1	6.0	366	1439	323207	0	0	3218	0
Transformers: Age of Extinction	2014	165	245428137	Action	blockbuster|bumblebee the character|semi truck and trailer|texas|truck	English	PG-13	210000000	USA	2.35	Color	http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1	5.7	378	918	242420	2	0	3988	56000
Oz the Great and Powerful	2013	130	234903076	Adventure	circus|magic|magician|oz|witch	English	PG	215000000	USA	2.35	Color	http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1	6.4	525	511	175409	4	0	73441	60000
The Amazing Spider-Man 2	2014	142	202853933	Action	costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1	6.7	495	1067	321227	0	464	28631	41000
TRON: Legacy	2010	125	172051787	Action	arcade|bridge|disappearance|escape|warrior	English	PG	170000000	USA	2.35	Color	http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1	6.8	469	665	264183	0	364	25550	30000
Cars 2	2011	106	191450875	Adventure	best friend|car race|conspiracy|gadget car|spy	English	G	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1	6.3	304	283	101178	0	487	4482	10000
Green Lantern	2011	123	116593191	Action	autopsy|lantern|planet|ring|test pilot	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1	5.6	436	550	223393	2	258	17657	24000
Toy Story 3	2010	103	414984497	Adventure	college|day care|escape|teddy bear|toy	English	G	200000000	USA	1.85	Color	http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1	8.3	453	733	544884	3	125	19085	30000
Terminator Salvation	2009	118	125320003	Action	death row|future|machine|rescue|skynet	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1	6.6	422	974	286095	0	368	27468	0
Furious 7	2015	140	350034110	Action	car falling off a cliff|hospital|revenge|star died before release|terrorist	English	PG-13	190000000	USA	2.35	Color	http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1	7.2	424	657	278232	0	0	79150	94000
World War Z	2013	123	202351611	Action	chaos|disease|infection|pandemic|zombie	English	PG-13	190000000	USA	2.35	Color	http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1	7.0	654	995	465019	0	395	32392	129000
X-Men: Days of Future Past	2014	149	233914986	Action	dystopia|super strength|supernatural power|time paradox|time travel	English	PG-13	200000000	USA	2.35	Color	http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1	8.0	539	752	514125	7	0	91434	82000
Star Trek Into Darkness	2013	132	228756232	Action	admiral|captain|manhunt|mission|space	English	PG-13	190000000	USA	2.35	Color	http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1	7.8	590	1171	395573	0	14000	21411	92000
Jack the Giant Slayer	2013	114	65171860	Adventure	bean|giant|king|no opening credits|princess	English	PG-13	195000000	USA	2.35	Color	http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1	6.3	338	205	106416	1	0	1766	22000
The Great Gatsby	2013	143	144812796	Drama	ingratitude|mansion|party|title appears in writing|tragedy	English	PG-13	105000000	Australia	2.35	Color	http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1	7.3	490	753	362912	4	1000	29770	115000
