movie1	movie2	class
Avatar	Titanic	director in common
Avatar	Terminator 2: Judgment Day	director in common
Avatar	True Lies	director in common
Avatar	The Abyss	director in common
Avatar	Aliens	director in common
Avatar	The Terminator	director in common
Pirates of the Caribbean: At World's End	Pirates of the Caribbean: Dead Man's Chest	director and 3 actors in common
Pirates of the Caribbean: At World's End	The Lone Ranger	director in common
Pirates of the Caribbean: At World's End	Rango	director in common
Pirates of the Caribbean: At World's End	Pirates of the Caribbean: The Curse of the Black Pearl	director and 3 actors in common
Pirates of the Caribbean: At World's End	The Mexican	director in common
Pirates of the Caribbean: At World's End	The Libertine	 2 actors in common
Pirates of the Caribbean: At World's End	The Weather Man	director in common
Spectre	Skyfall	director in common
Spectre	Road to Perdition	director in common
Spectre	Jarhead	director in common
Spectre	Revolutionary Road	director in common
Spectre	Away We Go	director in common
Spectre	American Beauty	director in common
The Dark Knight Rises	The Dark Knight	director in common
The Dark Knight Rises	Interstellar	director in common
The Dark Knight Rises	Inception	director and 2 actors in common
The Dark Knight Rises	Batman Begins	director in common
The Dark Knight Rises	Insomnia	director in common
The Dark Knight Rises	The Prestige	director in common
The Dark Knight Rises	Memento	director in common
John Carter	WALL·E	director in common
John Carter	Finding Nemo	director in common
Spider-Man 3	Spider-Man 2	director and 3 actors in common
Spider-Man 3	Oz the Great and Powerful	director in common
Spider-Man 3	Spider-Man	director and 3 actors in common
Spider-Man 3	For Love of the Game	director in common
Spider-Man 3	The Quick and the Dead	director in common
Spider-Man 3	Drag Me to Hell	director in common
Spider-Man 3	A Simple Plan	director in common
Spider-Man 3	Army of Darkness	director in common
Spider-Man 3	Evil Dead II	director in common
Spider-Man 3	The Evil Dead	director in common
Avengers: Age of Ultron	The Avengers	director and 3 actors in common
Avengers: Age of Ultron	Captain America: Civil War	 2 actors in common
Avengers: Age of Ultron	Iron Man 2	 2 actors in common
Avengers: Age of Ultron	Serenity	director in common
Harry Potter and the Half-Blood Prince	The Legend of Tarzan	director in common
Harry Potter and the Half-Blood Prince	Harry Potter and the Order of the Phoenix	director in common
Harry Potter and the Half-Blood Prince	Harry Potter and the Goblet of Fire	 2 actors in common
Harry Potter and the Half-Blood Prince	Harry Potter and the Prisoner of Azkaban	 2 actors in common
Harry Potter and the Half-Blood Prince	Harry Potter and the Chamber of Secrets	 2 actors in common
Batman v Superman: Dawn of Justice	Man of Steel	director in common
Batman v Superman: Dawn of Justice	Watchmen	director in common
Batman v Superman: Dawn of Justice	Legend of the Guardians: The Owls of Ga'Hoole	director in common
Batman v Superman: Dawn of Justice	Sucker Punch	director in common
Batman v Superman: Dawn of Justice	300	director in common
Batman v Superman: Dawn of Justice	Dawn of the Dead	director in common
Superman Returns	X-Men: Days of Future Past	director in common
Superman Returns	Jack the Giant Slayer	director in common
Superman Returns	X-Men: Apocalypse	director in common
Superman Returns	X-Men 2	director in common
Superman Returns	Valkyrie	director in common
Superman Returns	X-Men	director in common
Superman Returns	The Usual Suspects	director in common
Quantum of Solace	World War Z	director in common
Quantum of Solace	Stranger Than Fiction	director in common
Quantum of Solace	Machine Gun Preacher	director in common
Quantum of Solace	Finding Neverland	director in common
Quantum of Solace	The Kite Runner	director in common
Quantum of Solace	Monster's Ball	director in common
Quantum of Solace	Everything Put Together	director in common
Pirates of the Caribbean: Dead Man's Chest	The Lone Ranger	director in common
Pirates of the Caribbean: Dead Man's Chest	Rango	director in common
Pirates of the Caribbean: Dead Man's Chest	Pirates of the Caribbean: The Curse of the Black Pearl	director and 3 actors in common
Pirates of the Caribbean: Dead Man's Chest	The Mexican	director in common
Pirates of the Caribbean: Dead Man's Chest	The Libertine	 2 actors in common
Pirates of the Caribbean: Dead Man's Chest	The Weather Man	director in common
The Lone Ranger	Rango	director in common
The Lone Ranger	Pirates of the Caribbean: The Curse of the Black Pearl	director in common
The Lone Ranger	The Mexican	director in common
The Lone Ranger	The Weather Man	director in common
Man of Steel	Watchmen	director in common
Man of Steel	Legend of the Guardians: The Owls of Ga'Hoole	director in common
Man of Steel	Sucker Punch	director in common
Man of Steel	300	director in common
Man of Steel	Dawn of the Dead	director in common
The Chronicles of Narnia: Prince Caspian	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	director in common
The Chronicles of Narnia: Prince Caspian	Shrek 2	director in common
The Chronicles of Narnia: Prince Caspian	Shrek	director in common
The Chronicles of Narnia: Prince Caspian	Cirque du Soleil: Worlds Away	director in common
The Avengers	Captain America: Civil War	 2 actors in common
The Avengers	Iron Man 2	 2 actors in common
The Avengers	Serenity	director in common
Pirates of the Caribbean: On Stranger Tides	Public Enemies	 2 actors in common
Pirates of the Caribbean: On Stranger Tides	Memoirs of a Geisha	director in common
Pirates of the Caribbean: On Stranger Tides	Nine	director in common
Pirates of the Caribbean: On Stranger Tides	Into the Woods	director in common
Pirates of the Caribbean: On Stranger Tides	Chicago	director in common
Men in Black 3	Wild Wild West	director in common
Men in Black 3	Men in Black II	director in common
Men in Black 3	Men in Black	director in common
Men in Black 3	Big Trouble	director in common
Men in Black 3	Get Shorty	director in common
Men in Black 3	The Addams Family	director in common
The Hobbit: The Battle of the Five Armies	The Hobbit: The Desolation of Smaug	director and 3 actors in common
The Hobbit: The Battle of the Five Armies	King Kong	director in common
The Hobbit: The Battle of the Five Armies	The Hobbit: An Unexpected Journey	director and 3 actors in common
The Hobbit: The Battle of the Five Armies	The Lord of the Rings: The Fellowship of the Ring	director in common
The Hobbit: The Battle of the Five Armies	The Lovely Bones	director in common
The Hobbit: The Battle of the Five Armies	The Lord of the Rings: The Return of the King	director in common
The Hobbit: The Battle of the Five Armies	The Lord of the Rings: The Two Towers	director in common
The Hobbit: The Battle of the Five Armies	Heavenly Creatures	director in common
The Amazing Spider-Man	The Amazing Spider-Man 2	director and 2 actors in common
The Amazing Spider-Man	500 Days of Summer	director in common
Robin Hood	Exodus: Gods and Kings	director in common
Robin Hood	Prometheus	director in common
Robin Hood	Kingdom of Heaven	director in common
Robin Hood	The Martian	director in common
Robin Hood	Gladiator	director in common
Robin Hood	American Gangster	director in common
Robin Hood	Black Hawk Down	director in common
Robin Hood	Body of Lies	director in common
Robin Hood	G.I. Jane	director in common
Robin Hood	White Squall	director in common
Robin Hood	A Good Year	director in common
Robin Hood	Black Rain	director in common
Robin Hood	Blade Runner	director in common
Robin Hood	The Counselor	director in common
Robin Hood	Alien	director in common
The Hobbit: The Desolation of Smaug	King Kong	director in common
The Hobbit: The Desolation of Smaug	The Hobbit: An Unexpected Journey	director and 3 actors in common
The Hobbit: The Desolation of Smaug	The Lord of the Rings: The Fellowship of the Ring	director in common
The Hobbit: The Desolation of Smaug	The Lovely Bones	director in common
The Hobbit: The Desolation of Smaug	The Lord of the Rings: The Return of the King	director in common
The Hobbit: The Desolation of Smaug	The Lord of the Rings: The Two Towers	director in common
The Hobbit: The Desolation of Smaug	Heavenly Creatures	director in common
The Golden Compass	The Twilight Saga: New Moon	director in common
The Golden Compass	Down to Earth	director in common
The Golden Compass	About a Boy	director in common
The Golden Compass	A Better Life	director in common
King Kong	The Hobbit: An Unexpected Journey	director in common
King Kong	The Lord of the Rings: The Fellowship of the Ring	director in common
King Kong	The Lovely Bones	director in common
King Kong	The Lord of the Rings: The Return of the King	director in common
King Kong	The Lord of the Rings: The Two Towers	director in common
King Kong	Heavenly Creatures	director in common
Titanic	Terminator 2: Judgment Day	director in common
Titanic	True Lies	director in common
Titanic	The Abyss	director in common
Titanic	Revolutionary Road	 2 actors in common
Titanic	Aliens	director in common
Titanic	The Terminator	director in common
Captain America: Civil War	Iron Man 2	 2 actors in common
Captain America: Civil War	Captain America: The Winter Soldier	director and 2 actors in common
Captain America: Civil War	You, Me and Dupree	director in common
Captain America: Civil War	Welcome to Collinwood	director in common
Battleship	Hancock	director in common
Battleship	The Rundown	director in common
Battleship	The Kingdom	director in common
Battleship	Lone Survivor	director in common
Battleship	Very Bad Things	director in common
Jurassic World	The Village	 2 actors in common
Jurassic World	Safety Not Guaranteed	director in common
Skyfall	Road to Perdition	director in common
Skyfall	Jarhead	director in common
Skyfall	Revolutionary Road	director in common
Skyfall	Away We Go	director in common
Skyfall	American Beauty	director in common
Spider-Man 2	Oz the Great and Powerful	director in common
Spider-Man 2	Spider-Man	director and 3 actors in common
Spider-Man 2	For Love of the Game	director in common
Spider-Man 2	The Quick and the Dead	director in common
Spider-Man 2	Drag Me to Hell	director in common
Spider-Man 2	A Simple Plan	director in common
Spider-Man 2	Army of Darkness	director in common
Spider-Man 2	Evil Dead II	director in common
Spider-Man 2	The Evil Dead	director in common
Iron Man 3	Iron Man	 2 actors in common
Iron Man 3	Iron Man 2	 2 actors in common
Iron Man 3	Kiss Kiss Bang Bang	director in common
Alice in Wonderland	Alice Through the Looking Glass	 3 actors in common
Alice in Wonderland	Charlie and the Chocolate Factory	director in common
Alice in Wonderland	Dark Shadows	director in common
Alice in Wonderland	Planet of the Apes	director in common
Alice in Wonderland	Batman Returns	director in common
Alice in Wonderland	Mars Attacks!	director in common
Alice in Wonderland	Big Fish	director in common
Alice in Wonderland	Frankenweenie	director in common
Alice in Wonderland	Batman	director in common
Alice in Wonderland	Corpse Bride	director in common
Alice in Wonderland	Edward Scissorhands	director in common
Alice in Wonderland	Ed Wood	director in common
Alice in Wonderland	Beetlejuice	director in common
Alice in Wonderland	Big Eyes	director in common
X-Men: The Last Stand	Rush Hour 3	director in common
X-Men: The Last Stand	Hercules	director in common
X-Men: The Last Stand	Rush Hour 2	director in common
X-Men: The Last Stand	Tower Heist	director in common
X-Men: The Last Stand	Red Dragon	director in common
X-Men: The Last Stand	The Family Man	director in common
X-Men: The Last Stand	After the Sunset	director in common
X-Men: The Last Stand	Money Talks	director in common
Transformers: Revenge of the Fallen	Transformers: Age of Extinction	director in common
Transformers: Revenge of the Fallen	Transformers: Dark of the Moon	director and 2 actors in common
Transformers: Revenge of the Fallen	Pearl Harbor	director in common
Transformers: Revenge of the Fallen	Transformers	director in common
Transformers: Revenge of the Fallen	Armageddon	director in common
Transformers: Revenge of the Fallen	Bad Boys II	director in common
Transformers: Revenge of the Fallen	The Island	director in common
Transformers: Revenge of the Fallen	The Rock	director in common
Transformers: Revenge of the Fallen	13 Hours	director in common
Transformers: Revenge of the Fallen	Pain & Gain	director in common
Transformers: Revenge of the Fallen	Bad Boys	director in common
Transformers: Age of Extinction	Transformers: Dark of the Moon	director in common
Transformers: Age of Extinction	Pearl Harbor	director in common
Transformers: Age of Extinction	Transformers	director in common
Transformers: Age of Extinction	Armageddon	director in common
Transformers: Age of Extinction	Bad Boys II	director in common
Transformers: Age of Extinction	The Island	director in common
Transformers: Age of Extinction	The Rock	director in common
Transformers: Age of Extinction	13 Hours	director in common
Transformers: Age of Extinction	Pain & Gain	director in common
Transformers: Age of Extinction	Bad Boys	director in common
Oz the Great and Powerful	Spider-Man	director in common
Oz the Great and Powerful	Date Night	 2 actors in common
Oz the Great and Powerful	For Love of the Game	director in common
Oz the Great and Powerful	The Quick and the Dead	director in common
Oz the Great and Powerful	Drag Me to Hell	director in common
Oz the Great and Powerful	A Simple Plan	director in common
Oz the Great and Powerful	Army of Darkness	director in common
Oz the Great and Powerful	Evil Dead II	director in common
Oz the Great and Powerful	The Evil Dead	director in common
The Amazing Spider-Man 2	500 Days of Summer	director in common
TRON: Legacy	Oblivion	director in common
TRON: Legacy	Destiny	director in common
Cars 2	Toy Story 2	director in common
Cars 2	Cars	director in common
Cars 2	A Bug's Life	director in common
Cars 2	Toy Story	director in common
Green Lantern	Casino Royale	director in common
Green Lantern	The Legend of Zorro	director in common
Green Lantern	Vertical Limit	director in common
Green Lantern	The Mask of Zorro	director in common
Green Lantern	GoldenEye	director in common
Green Lantern	Edge of Darkness	director in common
Green Lantern	Beyond Borders	director in common
Toy Story 3	Toy Story 2	 2 actors in common
Toy Story 3	Toy Story	 2 actors in common
Terminator Salvation	Charlie's Angels: Full Throttle	director in common
Terminator Salvation	Charlie's Angels	director in common
Terminator Salvation	This Means War	director in common
Terminator Salvation	We Are Marshall	director in common
Terminator Salvation	3 Days to Kill	director in common
Furious 7	The Fast and the Furious	 2 actors in common
Furious 7	Fast Five	 2 actors in common
Furious 7	The Conjuring 2	director in common
Furious 7	The Conjuring	director in common
Furious 7	Death Sentence	director in common
Furious 7	Insidious: Chapter 2	director in common
Furious 7	Insidious	director in common
Furious 7	Saw	director in common
World War Z	Stranger Than Fiction	director in common
World War Z	Machine Gun Preacher	director in common
World War Z	Finding Neverland	director in common
World War Z	The Kite Runner	director in common
World War Z	Monster's Ball	director in common
World War Z	Everything Put Together	director in common
X-Men: Days of Future Past	Jack the Giant Slayer	director in common
X-Men: Days of Future Past	X-Men: Apocalypse	director in common
X-Men: Days of Future Past	X-Men 2	director in common
X-Men: Days of Future Past	Valkyrie	director in common
X-Men: Days of Future Past	X-Men	director in common
X-Men: Days of Future Past	The Usual Suspects	director in common
Star Trek Into Darkness	Mission: Impossible III	director in common
Star Trek Into Darkness	Star Trek	director in common
Star Trek Into Darkness	Super 8	director in common
Jack the Giant Slayer	X-Men: Apocalypse	director in common
Jack the Giant Slayer	X-Men 2	director in common
Jack the Giant Slayer	Valkyrie	director in common
Jack the Giant Slayer	X-Men	director in common
Jack the Giant Slayer	The Usual Suspects	director in common
The Great Gatsby	Australia	director in common
The Great Gatsby	Moulin Rouge!	director in common
The Great Gatsby	Romeo + Juliet	director in common
Prince of Persia: The Sands of Time	Harry Potter and the Goblet of Fire	director in common
Prince of Persia: The Sands of Time	Mona Lisa Smile	director in common
Prince of Persia: The Sands of Time	Love in the Time of Cholera	director in common
Prince of Persia: The Sands of Time	Donnie Brasco	director in common
Prince of Persia: The Sands of Time	Pushing Tin	director in common
Prince of Persia: The Sands of Time	Four Weddings and a Funeral	director in common
Pacific Rim	Hellboy II: The Golden Army	director in common
Pacific Rim	Hellboy	director in common
Pacific Rim	Blade II	director in common
Pacific Rim	Pan's Labyrinth	director in common
Transformers: Dark of the Moon	Pearl Harbor	director in common
Transformers: Dark of the Moon	Transformers	director in common
Transformers: Dark of the Moon	Armageddon	director in common
Transformers: Dark of the Moon	Bad Boys II	director in common
Transformers: Dark of the Moon	The Island	director in common
Transformers: Dark of the Moon	The Rock	director in common
Transformers: Dark of the Moon	13 Hours	director in common
Transformers: Dark of the Moon	Pain & Gain	director in common
Transformers: Dark of the Moon	Bad Boys	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The BFG	director in common
Indiana Jones and the Kingdom of the Crystal Skull	War of the Worlds	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The Adventures of Tintin	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Minority Report	director in common
Indiana Jones and the Kingdom of the Crystal Skull	A.I. Artificial Intelligence	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The Lost World: Jurassic Park	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The Terminal	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Munich	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Hook	director in common
Indiana Jones and the Kingdom of the Crystal Skull	War Horse	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Saving Private Ryan	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Lincoln	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Jurassic Park	director in common
